Subject,Start Date,Description,Private
🎧RAISE A SUILEN ZEPP TOUR 2021「BE LIGHT」＠Zepp Namba,30/06/2021,https://bang-dream.com/events/ras-tour2021,False
💿劇場版「BanG Dream! Episode of Roselia」Theme Songs Collection,30/06/2021,https://bang-dream.com/discographies/2648,False
📻【第63回】モニカラジオ,30/06/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📻【第238回】バンドリ！ポッピンラジオ！,01/06/2021,https://hibiki-radio.jp/description/poppin-radio/detail,False
🎧RAISE A SUILEN ZEPP TOUR 2021「BE LIGHT」＠Zepp Nagoya,02/06/2021,https://bang-dream.com/events/ras-tour2021,False
📻【第59回】モニカラジオ,02/06/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📻【第122回】RAISE A SUILENのRADIO R･I･O･T,03/06/2021,https://hibiki-radio.jp/description/ras/detail,False
📺《22:00》バンドリ！TV LIVE 2021 #69,03/06/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📺《23:00》アニメ「BanG Dream! 3rd Season」#9（再）,03/06/2021,https://anime.bang-dream.com/3rd/,False
📻【第19回】BanG Dream! Presents RoseliaのRADIO  SHOUT! （響配信開始）,04/06/2021,https://hibiki-radio.jp/description/bdp/detail,False
※延期決定※【振替公演】BanG Dream! Special☆LIVE Girls Band Party! 2020→2021,05/06/2021,https://bang-dream.com/events/gbp2021,False
⭐BanG Dream! Girls Talk Party! 2021,05/06/2021,https://bang-dream.com/events/gtp2021,False
📻【第39回】Afterglowの夕焼けSTUDIO＋,05/06/2021,https://hibiki-radio.jp/description/Afterglowplus/detail,False
※延期決定※【振替公演】BanG Dream! Special☆LIVE Girls Band Party! 2020→2021,06/06/2021,https://bang-dream.com/events/gbp2021,False
🎬バンドリ！劇場作品大発表会,06/06/2021,https://bang-dream.com/news/1197,False
⭐BanG Dream! Girls Talk Party! 2021,06/06/2021,https://bang-dream.com/events/gtp2021,False
📻【第5回】ハロー、ハッピーワールド！のRadioすまいる！,06/06/2021,https://hibiki-radio.jp/description/hhw/detail,False
📻【第6回】Pastel＊Palettesのしゅわりんラジオ,07/06/2021,https://hibiki-radio.jp/description/pstl/detail,False
📻《20:30》【第20回】BanG Dream! Presents RoseliaのRADIO SHOUT!（ニッポン放送版）,07/06/2021,https://www.1242.com/bang_dream/,False
📻【第239回】バンドリ！ポッピンラジオ！,08/06/2021,https://hibiki-radio.jp/description/poppin-radio/detail,False
📻【第60回】モニカラジオ,09/06/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📻【第123回】RAISE A SUILENのRADIO R･I･O･T,10/06/2021,https://hibiki-radio.jp/description/ras/detail,False
📺《22:00》バンドリ！TV LIVE 2021 #70,10/06/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📺《23:00》アニメ「BanG Dream! 3rd Season」#10（再）,10/06/2021,https://anime.bang-dream.com/3rd/,False
📻【第20回】BanG Dream! Presents RoseliaのRADIO SHOUT!（響配信開始）,11/06/2021,https://hibiki-radio.jp/description/bdp/detail,False
📻【第40回】Afterglowの夕焼けSTUDIO＋,12/06/2021,https://hibiki-radio.jp/description/Afterglowplus/detail,False
📻【第6回】ハロー、ハッピーワールド！のRadioすまいる！,13/06/2021,https://hibiki-radio.jp/description/hhw/detail,False
📻【第7回】Pastel＊Palettesのしゅわりんラジオ,14/06/2021,https://hibiki-radio.jp/description/pstl/detail,False
📻【第240回】バンドリ！ポッピンラジオ！,15/06/2021,https://hibiki-radio.jp/description/poppin-radio/detail,False
📻【第61回】モニカラジオ,16/06/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📻【第124回】RAISE A SUILENのRADIO R･I･O･T,17/06/2021,https://hibiki-radio.jp/description/ras/detail,False
📺《22:00》バンドリ！TV LIVE 2021 #71,17/06/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📺《23:00》アニメ「BanG Dream! 3rd Season」#11（再）,17/06/2021,https://anime.bang-dream.com/3rd/,False
📻【第41回】Afterglowの夕焼けSTUDIO＋,19/06/2021,https://hibiki-radio.jp/description/Afterglowplus/detail,False
📻【第7回】ハロー、ハッピーワールド！のRadioすまいる！,20/06/2021,https://hibiki-radio.jp/description/hhw/detail,False
📻【第8回】Pastel＊Palettesのしゅわりんラジオ,21/06/2021,https://hibiki-radio.jp/description/pstl/detail,False
📻《20:30》【第21回】BanG Dream! Presents RoseliaのRADIO SHOUT!（ニッポン放送版）,21/06/2021,https://www.1242.com/bang_dream/,False
📻【第241回】バンドリ！ポッピンラジオ！,22/06/2021,https://hibiki-radio.jp/description/poppin-radio/detail,False
📻【第62回】モニカラジオ,23/06/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📻【第125回】RAISE A SUILENのRADIO R･I･O･T,24/06/2021,https://hibiki-radio.jp/description/ras/detail,False
📺《22:00》バンドリ！TV LIVE 2021 #72,24/06/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📺《23:00》アニメ「BanG Dream! 3rd Season」#12（再）,24/06/2021,https://anime.bang-dream.com/3rd/,False
📻【第21回】BanG Dream! Presents RoseliaのRADIO SHOUT!（響配信開始）,25/06/2021,https://hibiki-radio.jp/description/bdp/detail,False
📻【第42回】Afterglowの夕焼けSTUDIO＋,26/06/2021,https://hibiki-radio.jp/description/Afterglowplus/detail,False
📻【第8回】ハロー、ハッピーワールド！のRadioすまいる！,27/06/2021,https://hibiki-radio.jp/description/hhw/detail,False
📻【第9回】Pastel＊Palettesのしゅわりんラジオ,28/06/2021,https://hibiki-radio.jp/description/pstl/detail,False
📻《20:30》【第22回】BanG Dream! Presents RoseliaのRADIO SHOUT!（ニッポン放送版）,28/06/2021,https://www.1242.com/bang_dream/,False
📻【第242回】バンドリ！ポッピンラジオ！,29/06/2021,https://hibiki-radio.jp/description/poppin-radio/detail,False
